"","Run_set","Slope","Intercept","R2","SE"
"1","1 : 8",0.974091581529827,0.0208824626389793,0.999521998430616,0.0849785885016869
"2","2 : 8",0.973018211672482,0.0283625216105624,0.999459549604365,0.0922870435301913
"3","3 : 8",0.970677054256917,0.0447777411729822,0.99935822865088,0.100829101390579
"4","4 : 8",0.965715757014975,0.0808790955717923,0.999203457193645,0.109970499364212
"5","5 : 8",0.95521546926502,0.159881260547647,0.998782475408694,0.121969615980035
"6","1: 3",0.966298118980271,-0.00483286290125748,0.999894132768837,0.00346817262845483
"7","1: 4",0.998231999250973,-0.0100985559246179,0.99970878382424,0.00918972111867156
"8","1: 5",1.02403965780678,-0.0192933135018675,0.999903885813542,0.0141250783072087
"9","1: 6",1.00292047904801,-0.00581491870434703,0.999779161213062,0.0331145326713429
"10","1: 7",0.970271548588003,0.0267709342238566,0.998999565738977,0.0917647338273903
